"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Central African Republic","CAF","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","515.837","510.544","505.163","499.725","494.383","488.251","481.764","474.595","467.172","459.449","451.472","443.36","434.976","427.654","420.026","412.984","406.992","402.021","398.009","395.27","393.365","391.666","392.083","392.517","393.731","395.785","398.792","402.947","408.507","415.782","424.99","436.718","451.327","466.732","483.655","500.69","517.899","533.936","542.025","549.578","555.894","556.458","559.382","548.605","542.986","535.908","530.931","519.687","510.445","502.293","494.549","482.927","474.801","484.375","501.312","450.392","447.193","454.778","441.58","431.28","448.54","",
"Canada","CAN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","192.876","190.728","191.161","191.753","191.376","192.02","193.593","193.039","189.613","190.227","187.159","186.309","187.942","189.606","188.174","184.899","181.014","179.717","176.041","171.029","163.92","159.201","153.004","148.844","142.353","142.122","139.846","135.672","131.239","130.036","127.319","124.704","123.387","123.68","119.16","118.543","113.675","109.35","105.573","104.145","100.915","99.426","96.835","96.936","94.71","94.342","91.811","91.755","89.926","87.755","85.399","82.916","82.45","81.208","81.436","81.203","82.791","84.103","83.781","81.367","","",
"Central Europe and the Baltics","CEB","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","199.185600546815","197.149910479077","202.875347395755","195.884129660697","189.452964926313","190.998480650951","188.790757669982","197.142701372821","199.136049662795","208.293758111016","206.798100943519","211.968136940106","205.608250092563","209.427939048008","206.502262682553","213.560797243768","217.95163709314","223.93005481108","229.029057203317","231.403668599795","242.06519209826","236.115821696317","234.170784678088","242.592294723466","245.13293837335","247.464909861886","242.644646224781","243.271091892317","241.492829792013","248.205031489772","253.345493346708","260.6980011334","261.152255828835","258.177960707985","258.824098389973","258.479439780147","248.952265698723","246.291513288431","242.008006260036","236.838368173736","225.913642127031","222.31780768734","221.365633248425","222.37638788557","221.87228563822","218.912406954856","215.503241260853","211.84525109063","204.158883523666","196.392026921359","190.236731922747","183.776506871512","179.213254139286","171.188443373031","166.178731942137","165.621941825084","160.913810944229","156.395941405533","153.625176975015","148.077360414801","","",
"Switzerland","CHE","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","178.515","180.63","183.998","185.058","176.195","167.99","171.012","166.421","167.875","168.338","166.223","161.965","159.211","152.114","150.495","153.666","149.886","149.934","149.645","146.367","145.031","143.991","144.644","140.457","135.569","132.011","129.969","130.388","127.167","127.624","126.484","129.704","126.173","119.107","118.902","117.692","108.872","107.232","103.954","97.252","99.439","94.505","91.8","90.441","87.49","84.241","79.749","78.545","75.467","75.903","71.146","68.348","66.999","66.885","63.344","62.284","58.204","60.213","57.573","54.626","56.763","",
"Channel Islands","CHI","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","177.881","200.157","166.132","192.93","163.192","170.79","165.176","154.044","181.383","177.919","184.118","176.27","174.667","170.721","169.196","177.476","164.043","160.531","156.185","166.235","152.994","146.736","131.199","143.492","115.716","125.444","121.524","109.212","103.544","101.53","102.488","104.686","94.651","110.185","91.12","94.214","91.779","88.702","82.424","81.946","79.633","78.288","81.591","74.603","70.523","68.639","66.341","62.369","61.636","64.008","62.913","58.93","60.933","59.85","57.618","60.164","60.79","60.939","60.678","60.298","61.081","",
"Chile","CHL","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","321.554","313.614","330.312","358.329","318.346","302.505","303.805","303.249","301.537","294.196","276.147","287.821","305.54","276.848","244.485","234.003","241.775","233.686","241.784","231.509","223.577","210.696","210.248","225.371","223.253","204.92","189.853","170.881","178.135","194.482","193.695","172.911","157.114","159.874","163.162","166.685","164.419","157.571","151.6","145.613","139.528","142.574","134.721","133.72","130.285","124.597","120.54","123.095","122.373","120.125","118.544","113.339","112.095","112.222","110.522","109.658","105.435","102.154","107.645","105.851","112.595","",
"China","CHN","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","598.591","521.116","420.312","410.834","399.342","388.835","376.496","364.6","352.332","341.615","329.202","314.247","303.547","291.178","284.181","276.353","266.479","258.409","251.498","244.515","238.711","232.629","226.952","221.976","216.668","212.228","207.681","203.434","198.751","194.483","191.003","185.477","178.767","173.969","169.47","164.971","161.943","157.99","155.009","150.881","148.697","145.357","143.119","141.011","139.029","137.196","134.262","133.742","133.823","129.607","128.122","126.068","124.407","122.306","120.329","118.37","116.757","118.758","112.641","110.228","109.413","",
"Cote d'Ivoire","CIV","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","453.19","447.873","443.976","443.534","438.572","435.187","429.891","427.462","422.175","418.938","413.65","408.889","403.544","397.064","390.385","385.063","379.681","371.759","369.216","362.317","357.877","357.551","359.963","359.342","362.826","363.343","366.952","370.883","376.616","380.712","389.642","398.421","404.455","410.859","417.968","423.354","428.618","427.311","438.719","440.648","448.859","453.502","456.337","462.066","454.472","448.346","439.935","430.127","421.207","411.821","401.861","395.216","383.756","376.871","366.067","360.727","353.555","353.168","345.839","343.882","349.567","",
"Cameroon","CMR","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","753.269","747.945","426.527","423.085","419.9","412.729","411.14","406.136","400.974","395.076","389.059","386.173","380.312","377.119","373.848","373.37","371.968","371.278","367.577","366.464","361.893","357.324","350.807","345.519","347.125","337.38","341.697","338.317","339.248","341.928","345.614","349.937","354.584","360.609","372.5","380.438","388.612","390.934","396.06","399.434","395.686","395.275","391.114","385.507","384.747","382.55","376.144","374.115","368.844","363.508","360.66","354.076","347.23","339.178","338.369","329.934","319.044","311.281","314.242","305.191","329.202","",
"Congo, Dem. Rep.","COD","Mortality rate, adult, male (per 1,000 male adults)","SP.DYN.AMRT.MA","456.569","484.827","482.679","480.989","509.375","496.19","449.267","451.187","443.406","443.85","441.655","436.636","434.023","434.692","430.703","430.738","427.735","429.049","437.958","423.955","419.175","417.502","417.681","413.923","413.481","410.884","409.787","402.172","402.181","395.93","393.723","388.97","388.55","390.67","384.525","381.003","414.77","393.583","448.566","447.373","373.778","370.546","374.11","365.246","354.336","349.555","343.96","339.957","338.34","337.885","330.062","322.34","323.133","320.187","314.684","315.912","310.328","305.592","302.056","301.147","313.209","",
